Problem,Electricity and Electronics,Behavioral & Social Sciences,Biology,Chemistry,Computer Science & Math,Earth & Environmental Studies,Energy & Space,Fauna & Flora,Food Science,Inventions & Innovation,Physics
Aggression,1,0,1,1,0,0,0,0,0,0,0
Boredom,1,0,1,1,1,0,0,0,0,1,0
Bullying,1,0,0,0,1,0,0,0,0,1,0
Cyberbullying,1,1,0,0,1,0,0,0,0,1,0
Disarmament,1,1,0,0,1,0,1,0,0,1,1
Discrimination,1,0,0,0,1,0,0,0,0,1,0
Drought,1,0,0,0,1,1,0,1,1,1,1
Extinction,1,0,1,1,1,1,0,1,1,0,0
Famine,1,0,1,1,1,1,0,1,1,1,0
Fertility,1,0,1,1,0,0,0,1,0,1,0
Harassment,1,0,0,0,0,0,0,0,0,0,0
Homelessness,1,0,0,0,0,0,0,0,0,1,0
Hunger,1,0,1,1,1,1,0,1,1,1,0
Hygiene,1,0,1,1,1,1,0,1,1,1,0
Litter,1,0,0,0,0,1,0,0,0,1,0
Memory,1,0,1,1,1,0,0,0,0,1,0
Noise,1,1,0,0,1,1,0,0,0,1,1
Overconsumption,1,0,1,0,0,0,0,0,1,0,0
Phishing,1,1,0,0,1,0,0,0,0,1,0
Photophobia,1,0,1,1,0,0,0,0,0,1,0
Pollution,1,0,1,1,0,1,1,0,0,1,1
Poverty,1,0,0,0,1,1,0,0,0,1,0
Productivity,1,0,0,0,0,0,0,0,1,0,0
Recycling,1,0,1,1,0,1,1,1,1,1,0
Salinity,1,1,1,1,1,1,0,1,1,1,1
Sanitation,1,0,1,1,0,1,0,0,0,1,1
Scarcity,1,0,0,0,1,1,1,1,1,1,1
Smog,1,0,0,1,0,1,0,1,0,1,0
Smuggling,1,1,0,0,0,0,0,1,0,1,0
Spam,1,1,0,0,1,0,0,0,0,1,0
Spyware,1,1,0,0,1,0,0,0,0,1,0
Starvation,1,0,1,1,1,1,0,1,1,1,0
Sustainability,1,0,1,1,1,1,1,1,1,1,0
Traffic,1,1,0,0,1,1,0,0,0,1,1
Acoustics,0,1,0,0,0,0,1,0,0,1,1
Brownout,0,1,0,0,1,0,1,0,0,1,1
Entropy,0,1,0,0,1,1,1,0,0,1,1
Latency,0,1,0,0,1,0,0,0,0,1,1
Malware,0,1,0,0,1,0,0,0,0,1,1
Obsolescence,0,1,0,0,1,0,0,0,0,1,0
Overheating,0,1,1,1,0,0,1,1,0,1,0
Perishability,0,1,1,1,0,1,0,1,1,1,0
Rust,0,1,1,1,0,1,1,0,0,1,1
Spaceflight,0,1,0,0,1,0,1,0,0,1,1
Ageing,0,0,1,1,0,0,0,0,0,1,0
Agribusiness,0,0,1,1,0,1,0,1,1,1,0
Biodegradation,0,0,1,1,0,1,0,0,0,1,0
Biomagnification,0,0,1,1,0,0,0,0,0,1,0
Bycatch,0,0,1,0,0,1,0,1,1,1,0
Deforestation,0,0,1,0,0,1,0,1,0,0,0
Divergence,0,0,1,0,0,0,0,1,0,0,0
Ecology,0,0,1,0,0,1,0,1,0,0,0
Evolution,0,0,1,0,1,0,0,0,0,1,1
Fractures,0,0,1,0,0,0,0,0,0,1,0
Landfill,0,0,1,1,0,1,0,0,1,0,0
Monocropping,0,0,1,0,0,1,0,0,1,0,0
Mutation,0,0,1,0,0,1,0,1,0,0,0
Overfishing,0,0,1,1,1,1,0,1,1,0,0
Overgrazing,0,0,1,1,1,1,0,1,1,0,0
Siltation,0,0,1,1,0,1,0,1,0,1,0
Snakebites,0,0,1,0,0,0,0,1,0,1,0
Subsoil,0,0,1,1,0,1,0,1,0,0,0
Adhesion,0,0,0,1,0,0,0,0,0,1,1
Calcification,0,0,0,1,0,1,0,0,0,0,0
Condensation,0,0,0,1,0,1,1,0,0,1,0
Corrosion,0,0,0,1,0,1,1,0,0,1,1
Denaturation,0,0,0,1,0,0,0,0,0,0,1
Diffraction,0,0,0,1,0,0,0,0,0,0,1
Evaporation,0,0,0,1,0,1,0,0,0,1,1
Suspension,0,0,0,1,0,0,0,0,0,1,1
Viscoelasticity,0,0,0,1,0,0,0,0,0,0,1
Aeroelasticity,0,0,0,0,1,0,0,0,0,1,1
DataPortability,0,0,0,0,1,0,0,0,0,1,1
Estimation,0,0,0,0,1,0,0,0,0,0,0
Factorization,0,0,0,0,1,0,0,0,0,0,0
Landslides,0,0,0,0,1,1,1,0,0,1,1
Lattices,0,0,0,0,1,0,0,0,0,1,1
Pathfinding,0,0,0,0,1,0,0,0,0,1,0
Predictability,0,0,0,0,1,0,0,0,0,0,0
Randomization,0,0,0,0,1,0,0,0,0,0,0
Subsidence,0,0,0,0,1,1,0,0,0,1,1
Triangulation,0,0,0,0,1,0,0,0,0,1,1
Abrasion,0,0,0,0,0,1,0,0,0,0,1
Desertification,0,0,0,0,0,1,0,1,1,0,0
Floods,0,0,0,0,0,1,1,1,0,1,1
Storms,0,0,0,0,0,1,0,0,0,0,1
Absorption,0,0,0,0,0,0,0,0,0,1,1
Aeroacoustics,0,0,0,0,0,0,0,0,0,1,1
Cohesion,0,0,0,0,0,0,0,0,0,1,1
Compression,0,0,0,0,0,0,0,0,0,1,1
Reflection,0,0,0,0,0,0,0,0,0,1,1
Reionization,0,0,0,0,0,0,0,0,0,1,1
Torsion,0,0,0,0,0,0,0,0,0,1,1
Acceleration,0,0,0,0,0,0,0,0,0,0,1
Inertia,0,0,0,0,0,0,0,0,0,0,1
Suction,0,0,0,0,0,0,0,0,0,0,1
